zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=49145&keywords=&tid=0&lid=0,15851-游戏后台开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49135&keywords=&tid=0&lid=0,22989-腾讯云高级项目经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49136&keywords=&tid=0&lid=0,22989-腾讯云API高级研发工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49137&keywords=&tid=0&lid=0,22989-腾讯云API开源工程师,2,2019-04-12,技术类
上海,position_detail.php?id=49161&keywords=&tid=0&lid=0,30628-30628-腾讯社交广告数据应用产品经理（深圳/上海）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49152&keywords=&tid=0&lid=0,AQ-安全评估经理（深圳总部）,1,2019-04-12,职能类
广州,position_detail.php?id=49153&keywords=&tid=0&lid=0,AQ-安全评估经理（广州）,1,2019-04-12,职能类
深圳,position_detail.php?id=49154&keywords=&tid=0&lid=0,22989-专有云网络高级产品经理（深圳）,3,2019-04-12,产品/项目类
深圳,position_detail.php?id=49155&keywords=&tid=0&lid=0,23872-综合商务运营经理,1,2019-04-12,市场类
北京,position_detail.php?id=49156&keywords=&tid=0&lid=0,22090-快报高级产品经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49151&keywords=&tid=0&lid=0,TME-全民K歌高级产品经理（用户增长）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49146&keywords=&tid=0&lid=0,15579-高级游戏技术美术（深圳）,1,2019-04-12,设计类
深圳,position_detail.php?id=49147&keywords=&tid=0&lid=0,27193-互娱高级视觉设计师,1,2019-04-12,设计类
上海,position_detail.php?id=49148&keywords=&tid=0&lid=0,30624-腾讯广告饮料行业广告销售经理（上海）,1,2019-04-12,市场类
深圳,position_detail.php?id=49169&keywords=&tid=0&lid=0,23295-互娱PGC内容策划经理,1,2019-04-12,市场类
深圳,position_detail.php?id=49171&keywords=&tid=0&lid=0,TEG17-高级语音平台开发工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49172&keywords=&tid=0&lid=0,PCG16-信息流商业化后台开发工程师（深圳）,2,2019-04-12,技术类
深圳,position_detail.php?id=49162&keywords=&tid=0&lid=0,PCG10-QQ浏览器推荐算法工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49163&keywords=&tid=0&lid=0,TME-Moo音乐/QQ音乐交互设计师（深圳）,1,2019-04-12,设计类
北京,position_detail.php?id=49165&keywords=&tid=0&lid=0,CSIG16-自动驾驶点云感知算法工程师（北京）,1,2019-04-12,技术类
深圳,position_detail.php?id=49166&keywords=&tid=0&lid=0,31504-高级运营开发工程师,2,2019-04-12,技术类
北京,position_detail.php?id=49158&keywords=&tid=0&lid=0,CSIG15-语音识别算法研究员,1,2019-04-12,技术类
深圳,position_detail.php?id=49159&keywords=&tid=0&lid=0,PCG10-数据分析产品经理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49160&keywords=&tid=0&lid=0,CSIG16-底图渲染引擎开发工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49180&keywords=&tid=0&lid=0,TEG05-大数据软件开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49181&keywords=&tid=0&lid=0,TEG05-高级后台开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49182&keywords=&tid=0&lid=0,30622-腾讯广告信息流与QQ效果广告行业运营经理（深圳）,2,2019-04-12,产品/项目类
深圳,position_detail.php?id=49183&keywords=&tid=0&lid=0,PCG09-信息流视频后台方案架构师,2,2019-04-12,技术类
上海,position_detail.php?id=49173&keywords=&tid=0&lid=0,22989-机器学习算法工程师（上海）,1,2019-04-12,技术类
深圳,position_detail.php?id=49174&keywords=&tid=0&lid=0,22989-机器学习算法工程师（深圳总部）,1,2019-04-12,技术类
深圳,position_detail.php?id=49175&keywords=&tid=0&lid=0,18428-银行业务测试工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49176&keywords=&tid=0&lid=0,27730-产品经理（用户增长方向）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49177&keywords=&tid=0&lid=0,28598-WEB前端开发工程师,1,2019-04-12,技术类
北京,position_detail.php?id=49168&keywords=&tid=0&lid=0,30623-腾讯广告联盟广告商务经理（北京）,1,2019-04-12,市场类
深圳,position_detail.php?id=49192&keywords=&tid=0&lid=0,CSIG17-X86体系结构工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49193&keywords=&tid=0&lid=0,CSIG17-Linux内核优化工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49194&keywords=&tid=0&lid=0,CSIG17-Android测试开发资深工程师,1,2019-04-12,技术类
